"Statistic","Year","Local Government District","Working Pattern","All Persons","Females","Males"
"Number of Jobs (Thousands)",2014,"Northern Ireland","All",616,311,305
"Number of Jobs (Thousands)",2014,"Northern Ireland","Full-Time",422,165,257
"Number of Jobs (Thousands)",2014,"Northern Ireland","Part-Time",194,146,48
"Number of Jobs (Thousands)",2014,"Antrim and Newtownabbey","All",43,24,NA
"Number of Jobs (Thousands)",2014,"Antrim and Newtownabbey","Full-Time",29,13,NA
"Number of Jobs (Thousands)",2014,"Antrim and Newtownabbey","Part-Time",14,11,NA
"Number of Jobs (Thousands)",2014,"Armagh City, Banbridge and Craigavon","All",66,36,30
"Number of Jobs (Thousands)",2014,"Armagh City, Banbridge and Craigavon","Full-Time",43,18,26
"Number of Jobs (Thousands)",2014,"Armagh City, Banbridge and Craigavon","Part-Time",23,18,NA
"Number of Jobs (Thousands)",2014,"Belfast","All",160,76,85
"Number of Jobs (Thousands)",2014,"Belfast","Full-Time",119,44,76
"Number of Jobs (Thousands)",2014,"Belfast","Part-Time",41,32,9
"Number of Jobs (Thousands)",2014,"Causeway Coast and Glens","All",33,20,13
"Number of Jobs (Thousands)",2014,"Causeway Coast and Glens","Full-Time",21,11,10
"Number of Jobs (Thousands)",2014,"Causeway Coast and Glens","Part-Time",11,NA,NA
"Number of Jobs (Thousands)",2014,"Derry City and Strabane","All",58,35,23
"Number of Jobs (Thousands)",2014,"Derry City and Strabane","Full-Time",36,NA,18
"Number of Jobs (Thousands)",2014,"Derry City and Strabane","Part-Time",NA,NA,5
"Number of Jobs (Thousands)",2014,"Fermanagh and Omagh","All",26,15,11
"Number of Jobs (Thousands)",2014,"Fermanagh and Omagh","Full-Time",16,NA,8
"Number of Jobs (Thousands)",2014,"Fermanagh and Omagh","Part-Time",10,7,NA
"Number of Jobs (Thousands)",2014,"Lisburn and Castlereagh","All",39,18,21
"Number of Jobs (Thousands)",2014,"Lisburn and Castlereagh","Full-Time",27,9,18
"Number of Jobs (Thousands)",2014,"Lisburn and Castlereagh","Part-Time",13,NA,NA
"Number of Jobs (Thousands)",2014,"Mid and East Antrim","All",45,20,25
"Number of Jobs (Thousands)",2014,"Mid and East Antrim","Full-Time",32,NA,21
"Number of Jobs (Thousands)",2014,"Mid and East Antrim","Part-Time",14,10,NA
"Number of Jobs (Thousands)",2014,"Mid Ulster","All",43,20,22
"Number of Jobs (Thousands)",2014,"Mid Ulster","Full-Time",29,NA,18
"Number of Jobs (Thousands)",2014,"Mid Ulster","Part-Time",14,10,NA
"Number of Jobs (Thousands)",2014,"Newry, Mourne and Down","All",41,19,22
"Number of Jobs (Thousands)",2014,"Newry, Mourne and Down","Full-Time",26,9,17
"Number of Jobs (Thousands)",2014,"Newry, Mourne and Down","Part-Time",15,10,NA
"Number of Jobs (Thousands)",2014,"Ards and North Down","All",26,16,11
"Number of Jobs (Thousands)",2014,"Ards and North Down","Full-Time",15,7,8
"Number of Jobs (Thousands)",2014,"Ards and North Down","Part-Time",11,NA,NA
"Number of Jobs (Thousands)",2015,"Northern Ireland","All",691,354,337
"Number of Jobs (Thousands)",2015,"Northern Ireland","Full-Time",484,197,287
"Number of Jobs (Thousands)",2015,"Northern Ireland","Part-Time",207,157,50
"Number of Jobs (Thousands)",2015,"Antrim and Newtownabbey","All",48,26,23
"Number of Jobs (Thousands)",2015,"Antrim and Newtownabbey","Full-Time",34,14,20
"Number of Jobs (Thousands)",2015,"Antrim and Newtownabbey","Part-Time",15,12,NA
"Number of Jobs (Thousands)",2015,"Armagh City, Banbridge and Craigavon","All",73,41,32
"Number of Jobs (Thousands)",2015,"Armagh City, Banbridge and Craigavon","Full-Time",50,21,29
"Number of Jobs (Thousands)",2015,"Armagh City, Banbridge and Craigavon","Part-Time",23,20,NA
"Number of Jobs (Thousands)",2015,"Belfast","All",200,98,101
"Number of Jobs (Thousands)",2015,"Belfast","Full-Time",150,60,90
"Number of Jobs (Thousands)",2015,"Belfast","Part-Time",49,38,11
"Number of Jobs (Thousands)",2015,"Causeway Coast and Glens","All",35,22,13
"Number of Jobs (Thousands)",2015,"Causeway Coast and Glens","Full-Time",22,12,10
"Number of Jobs (Thousands)",2015,"Causeway Coast and Glens","Part-Time",13,9,NA
"Number of Jobs (Thousands)",2015,"Derry City and Strabane","All",51,29,22
"Number of Jobs (Thousands)",2015,"Derry City and Strabane","Full-Time",34,NA,17
"Number of Jobs (Thousands)",2015,"Derry City and Strabane","Part-Time",17,13,NA
"Number of Jobs (Thousands)",2015,"Fermanagh and Omagh","All",34,19,14
"Number of Jobs (Thousands)",2015,"Fermanagh and Omagh","Full-Time",21,10,11
"Number of Jobs (Thousands)",2015,"Fermanagh and Omagh","Part-Time",NA,NA,NA
"Number of Jobs (Thousands)",2015,"Lisburn and Castlereagh","All",48,24,23
"Number of Jobs (Thousands)",2015,"Lisburn and Castlereagh","Full-Time",33,14,19
"Number of Jobs (Thousands)",2015,"Lisburn and Castlereagh","Part-Time",15,10,NA
"Number of Jobs (Thousands)",2015,"Mid and East Antrim","All",47,19,28
"Number of Jobs (Thousands)",2015,"Mid and East Antrim","Full-Time",35,11,24
"Number of Jobs (Thousands)",2015,"Mid and East Antrim","Part-Time",NA,NA,NA
"Number of Jobs (Thousands)",2015,"Mid Ulster","All",46,NA,27
"Number of Jobs (Thousands)",2015,"Mid Ulster","Full-Time",33,11,22
"Number of Jobs (Thousands)",2015,"Mid Ulster","Part-Time",NA,NA,NA
"Number of Jobs (Thousands)",2015,"Newry, Mourne and Down","All",49,24,25
"Number of Jobs (Thousands)",2015,"Newry, Mourne and Down","Full-Time",31,12,19
"Number of Jobs (Thousands)",2015,"Newry, Mourne and Down","Part-Time",18,13,NA
"Number of Jobs (Thousands)",2015,"Ards and North Down","All",33,22,NA
"Number of Jobs (Thousands)",2015,"Ards and North Down","Full-Time",18,10,9
"Number of Jobs (Thousands)",2015,"Ards and North Down","Part-Time",NA,NA,NA
"Number of Jobs (Thousands)",2016,"Northern Ireland","All",716,361,355
"Number of Jobs (Thousands)",2016,"Northern Ireland","Full-Time",509,206,303
"Number of Jobs (Thousands)",2016,"Northern Ireland","Part-Time",206,155,51
"Number of Jobs (Thousands)",2016,"Antrim and Newtownabbey","All",53,28,25
"Number of Jobs (Thousands)",2016,"Antrim and Newtownabbey","Full-Time",39,17,22
"Number of Jobs (Thousands)",2016,"Antrim and Newtownabbey","Part-Time",15,NA,NA
"Number of Jobs (Thousands)",2016,"Armagh City, Banbridge and Craigavon","All",74,37,37
"Number of Jobs (Thousands)",2016,"Armagh City, Banbridge and Craigavon","Full-Time",53,21,32
"Number of Jobs (Thousands)",2016,"Armagh City, Banbridge and Craigavon","Part-Time",21,16,NA
"Number of Jobs (Thousands)",2016,"Belfast","All",217,109,108
"Number of Jobs (Thousands)",2016,"Belfast","Full-Time",162,66,96
"Number of Jobs (Thousands)",2016,"Belfast","Part-Time",55,42,13
"Number of Jobs (Thousands)",2016,"Causeway Coast and Glens","All",36,23,13
"Number of Jobs (Thousands)",2016,"Causeway Coast and Glens","Full-Time",22,NA,10
"Number of Jobs (Thousands)",2016,"Causeway Coast and Glens","Part-Time",14,11,NA
"Number of Jobs (Thousands)",2016,"Derry City and Strabane","All",55,30,25
"Number of Jobs (Thousands)",2016,"Derry City and Strabane","Full-Time",37,17,20
"Number of Jobs (Thousands)",2016,"Derry City and Strabane","Part-Time",18,13,NA
"Number of Jobs (Thousands)",2016,"Fermanagh and Omagh","All",38,22,NA
"Number of Jobs (Thousands)",2016,"Fermanagh and Omagh","Full-Time",NA,11,NA
"Number of Jobs (Thousands)",2016,"Fermanagh and Omagh","Part-Time",14,11,NA
"Number of Jobs (Thousands)",2016,"Lisburn and Castlereagh","All",50,26,23
"Number of Jobs (Thousands)",2016,"Lisburn and Castlereagh","Full-Time",34,15,20
"Number of Jobs (Thousands)",2016,"Lisburn and Castlereagh","Part-Time",16,12,NA
"Number of Jobs (Thousands)",2016,"Mid and East Antrim","All",45,20,25
"Number of Jobs (Thousands)",2016,"Mid and East Antrim","Full-Time",33,11,22
"Number of Jobs (Thousands)",2016,"Mid and East Antrim","Part-Time",12,9,NA
"Number of Jobs (Thousands)",2016,"Mid Ulster","All",46,18,28
"Number of Jobs (Thousands)",2016,"Mid Ulster","Full-Time",34,10,24
"Number of Jobs (Thousands)",2016,"Mid Ulster","Part-Time",13,8,NA
"Number of Jobs (Thousands)",2016,"Newry, Mourne and Down","All",53,25,28
"Number of Jobs (Thousands)",2016,"Newry, Mourne and Down","Full-Time",37,14,23
"Number of Jobs (Thousands)",2016,"Newry, Mourne and Down","Part-Time",17,12,NA
"Number of Jobs (Thousands)",2016,"Ards and North Down","All",33,20,13
"Number of Jobs (Thousands)",2016,"Ards and North Down","Full-Time",20,10,11
"Number of Jobs (Thousands)",2016,"Ards and North Down","Part-Time",13,10,NA
"Number of Jobs (Thousands)",2017,"Northern Ireland","All",691,342,349
"Number of Jobs (Thousands)",2017,"Northern Ireland","Full-Time",498,195,302
