"Statistic","Year","Local Government District","Pay Rate","Working Pattern","All Persons","Females","Males"
"Number of Jobs (Thousands)",2014,"Northern Ireland","Hourly (excluding overtime)","All",722,354,367
"Number of Jobs (Thousands)",2014,"Northern Ireland","Hourly (excluding overtime)","Full-Time",497,191,305
"Number of Jobs (Thousands)",2014,"Northern Ireland","Hourly (excluding overtime)","Part-Time",225,163,62
"Number of Jobs (Thousands)",2014,"Northern Ireland","Weekly","All",722,354,367
"Number of Jobs (Thousands)",2014,"Northern Ireland","Weekly","Full-Time",497,191,305
"Number of Jobs (Thousands)",2014,"Northern Ireland","Weekly","Part-Time",225,163,62
"Number of Jobs (Thousands)",2014,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",49,26,23
"Number of Jobs (Thousands)",2014,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",33,14,19
"Number of Jobs (Thousands)",2014,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",15,12,NA
"Number of Jobs (Thousands)",2014,"Antrim and Newtownabbey","Weekly","All",49,26,23
"Number of Jobs (Thousands)",2014,"Antrim and Newtownabbey","Weekly","Full-Time",33,14,19
"Number of Jobs (Thousands)",2014,"Antrim and Newtownabbey","Weekly","Part-Time",15,12,NA
"Number of Jobs (Thousands)",2014,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",76,40,36
"Number of Jobs (Thousands)",2014,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",51,21,30
"Number of Jobs (Thousands)",2014,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",25,19,6
"Number of Jobs (Thousands)",2014,"Armagh City, Banbridge and Craigavon","Weekly","All",76,40,36
"Number of Jobs (Thousands)",2014,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",51,21,30
"Number of Jobs (Thousands)",2014,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",25,19,6
"Number of Jobs (Thousands)",2014,"Belfast","Hourly (excluding overtime)","All",198,90,108
"Number of Jobs (Thousands)",2014,"Belfast","Hourly (excluding overtime)","Full-Time",147,53,94
"Number of Jobs (Thousands)",2014,"Belfast","Hourly (excluding overtime)","Part-Time",51,37,14
"Number of Jobs (Thousands)",2014,"Belfast","Weekly","All",198,90,108
"Number of Jobs (Thousands)",2014,"Belfast","Weekly","Full-Time",147,53,94
"Number of Jobs (Thousands)",2014,"Belfast","Weekly","Part-Time",51,37,14
"Number of Jobs (Thousands)",2014,"Causeway Coast and Glens","Hourly (excluding overtime)","All",37,22,15
"Number of Jobs (Thousands)",2014,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",23,12,11
"Number of Jobs (Thousands)",2014,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",14,10,NA
"Number of Jobs (Thousands)",2014,"Causeway Coast and Glens","Weekly","All",37,22,15
"Number of Jobs (Thousands)",2014,"Causeway Coast and Glens","Weekly","Full-Time",23,12,11
"Number of Jobs (Thousands)",2014,"Causeway Coast and Glens","Weekly","Part-Time",14,10,NA
"Number of Jobs (Thousands)",2014,"Derry City and Strabane","Hourly (excluding overtime)","All",63,38,25
"Number of Jobs (Thousands)",2014,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",38,18,20
"Number of Jobs (Thousands)",2014,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",25,19,5
"Number of Jobs (Thousands)",2014,"Derry City and Strabane","Weekly","All",63,38,25
"Number of Jobs (Thousands)",2014,"Derry City and Strabane","Weekly","Full-Time",38,18,20
"Number of Jobs (Thousands)",2014,"Derry City and Strabane","Weekly","Part-Time",25,19,5
"Number of Jobs (Thousands)",2014,"Fermanagh and Omagh","Hourly (excluding overtime)","All",32,18,14
"Number of Jobs (Thousands)",2014,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",20,9,11
"Number of Jobs (Thousands)",2014,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",12,9,NA
"Number of Jobs (Thousands)",2014,"Fermanagh and Omagh","Weekly","All",32,18,14
"Number of Jobs (Thousands)",2014,"Fermanagh and Omagh","Weekly","Full-Time",20,9,11
"Number of Jobs (Thousands)",2014,"Fermanagh and Omagh","Weekly","Part-Time",12,9,NA
"Number of Jobs (Thousands)",2014,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",47,22,25
"Number of Jobs (Thousands)",2014,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",32,11,21
"Number of Jobs (Thousands)",2014,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",16,11,5
"Number of Jobs (Thousands)",2014,"Lisburn and Castlereagh","Weekly","All",47,22,25
"Number of Jobs (Thousands)",2014,"Lisburn and Castlereagh","Weekly","Full-Time",32,11,21
"Number of Jobs (Thousands)",2014,"Lisburn and Castlereagh","Weekly","Part-Time",16,11,5
"Number of Jobs (Thousands)",2014,"Mid and East Antrim","Hourly (excluding overtime)","All",51,22,29
"Number of Jobs (Thousands)",2014,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",36,12,24
"Number of Jobs (Thousands)",2014,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",15,11,5
"Number of Jobs (Thousands)",2014,"Mid and East Antrim","Weekly","All",51,22,29
"Number of Jobs (Thousands)",2014,"Mid and East Antrim","Weekly","Full-Time",36,12,24
"Number of Jobs (Thousands)",2014,"Mid and East Antrim","Weekly","Part-Time",15,11,5
"Number of Jobs (Thousands)",2014,"Mid Ulster","Hourly (excluding overtime)","All",50,21,29
"Number of Jobs (Thousands)",2014,"Mid Ulster","Hourly (excluding overtime)","Full-Time",34,11,23
"Number of Jobs (Thousands)",2014,"Mid Ulster","Hourly (excluding overtime)","Part-Time",15,10,5
"Number of Jobs (Thousands)",2014,"Mid Ulster","Weekly","All",50,21,29
"Number of Jobs (Thousands)",2014,"Mid Ulster","Weekly","Full-Time",34,11,23
"Number of Jobs (Thousands)",2014,"Mid Ulster","Weekly","Part-Time",15,10,5
"Number of Jobs (Thousands)",2014,"Newry, Mourne and Down","Hourly (excluding overtime)","All",49,23,27
"Number of Jobs (Thousands)",2014,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",32,11,21
"Number of Jobs (Thousands)",2014,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",17,11,6
"Number of Jobs (Thousands)",2014,"Newry, Mourne and Down","Weekly","All",49,23,27
"Number of Jobs (Thousands)",2014,"Newry, Mourne and Down","Weekly","Full-Time",32,11,21
"Number of Jobs (Thousands)",2014,"Newry, Mourne and Down","Weekly","Part-Time",17,11,6
"Number of Jobs (Thousands)",2014,"Ards and North Down","Hourly (excluding overtime)","All",30,17,13
"Number of Jobs (Thousands)",2014,"Ards and North Down","Hourly (excluding overtime)","Full-Time",18,8,10
"Number of Jobs (Thousands)",2014,"Ards and North Down","Hourly (excluding overtime)","Part-Time",12,9,NA
"Number of Jobs (Thousands)",2014,"Ards and North Down","Weekly","All",30,17,13
"Number of Jobs (Thousands)",2014,"Ards and North Down","Weekly","Full-Time",18,8,10
"Number of Jobs (Thousands)",2014,"Ards and North Down","Weekly","Part-Time",12,9,NA
"Number of Jobs (Thousands)",2015,"Northern Ireland","Hourly (excluding overtime)","All",792,394,398
"Number of Jobs (Thousands)",2015,"Northern Ireland","Hourly (excluding overtime)","Full-Time",553,219,334
"Number of Jobs (Thousands)",2015,"Northern Ireland","Hourly (excluding overtime)","Part-Time",239,175,64
"Number of Jobs (Thousands)",2015,"Northern Ireland","Weekly","All",792,394,398
"Number of Jobs (Thousands)",2015,"Northern Ireland","Weekly","Full-Time",553,219,334
"Number of Jobs (Thousands)",2015,"Northern Ireland","Weekly","Part-Time",239,175,64
"Number of Jobs (Thousands)",2015,"Antrim and Newtownabbey","Hourly (excluding overtime)","All",55,29,26
"Number of Jobs (Thousands)",2015,"Antrim and Newtownabbey","Hourly (excluding overtime)","Full-Time",39,16,23
"Number of Jobs (Thousands)",2015,"Antrim and Newtownabbey","Hourly (excluding overtime)","Part-Time",16,13,NA
"Number of Jobs (Thousands)",2015,"Antrim and Newtownabbey","Weekly","All",55,29,26
"Number of Jobs (Thousands)",2015,"Antrim and Newtownabbey","Weekly","Full-Time",39,16,23
"Number of Jobs (Thousands)",2015,"Antrim and Newtownabbey","Weekly","Part-Time",16,13,NA
"Number of Jobs (Thousands)",2015,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","All",87,47,40
"Number of Jobs (Thousands)",2015,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Full-Time",60,25,35
"Number of Jobs (Thousands)",2015,"Armagh City, Banbridge and Craigavon","Hourly (excluding overtime)","Part-Time",27,21,6
"Number of Jobs (Thousands)",2015,"Armagh City, Banbridge and Craigavon","Weekly","All",87,47,40
"Number of Jobs (Thousands)",2015,"Armagh City, Banbridge and Craigavon","Weekly","Full-Time",60,25,35
"Number of Jobs (Thousands)",2015,"Armagh City, Banbridge and Craigavon","Weekly","Part-Time",27,21,6
"Number of Jobs (Thousands)",2015,"Belfast","Hourly (excluding overtime)","All",229,110,119
"Number of Jobs (Thousands)",2015,"Belfast","Hourly (excluding overtime)","Full-Time",170,67,103
"Number of Jobs (Thousands)",2015,"Belfast","Hourly (excluding overtime)","Part-Time",59,43,16
"Number of Jobs (Thousands)",2015,"Belfast","Weekly","All",229,110,119
"Number of Jobs (Thousands)",2015,"Belfast","Weekly","Full-Time",170,67,103
"Number of Jobs (Thousands)",2015,"Belfast","Weekly","Part-Time",59,43,16
"Number of Jobs (Thousands)",2015,"Causeway Coast and Glens","Hourly (excluding overtime)","All",41,25,16
"Number of Jobs (Thousands)",2015,"Causeway Coast and Glens","Hourly (excluding overtime)","Full-Time",26,14,12
"Number of Jobs (Thousands)",2015,"Causeway Coast and Glens","Hourly (excluding overtime)","Part-Time",15,11,NA
"Number of Jobs (Thousands)",2015,"Causeway Coast and Glens","Weekly","All",41,25,16
"Number of Jobs (Thousands)",2015,"Causeway Coast and Glens","Weekly","Full-Time",26,14,12
"Number of Jobs (Thousands)",2015,"Causeway Coast and Glens","Weekly","Part-Time",15,11,NA
"Number of Jobs (Thousands)",2015,"Derry City and Strabane","Hourly (excluding overtime)","All",58,33,25
"Number of Jobs (Thousands)",2015,"Derry City and Strabane","Hourly (excluding overtime)","Full-Time",38,18,20
"Number of Jobs (Thousands)",2015,"Derry City and Strabane","Hourly (excluding overtime)","Part-Time",20,15,5
"Number of Jobs (Thousands)",2015,"Derry City and Strabane","Weekly","All",58,33,25
"Number of Jobs (Thousands)",2015,"Derry City and Strabane","Weekly","Full-Time",38,18,20
"Number of Jobs (Thousands)",2015,"Derry City and Strabane","Weekly","Part-Time",20,15,5
"Number of Jobs (Thousands)",2015,"Fermanagh and Omagh","Hourly (excluding overtime)","All",38,21,18
"Number of Jobs (Thousands)",2015,"Fermanagh and Omagh","Hourly (excluding overtime)","Full-Time",24,10,14
"Number of Jobs (Thousands)",2015,"Fermanagh and Omagh","Hourly (excluding overtime)","Part-Time",14,10,NA
"Number of Jobs (Thousands)",2015,"Fermanagh and Omagh","Weekly","All",38,21,18
"Number of Jobs (Thousands)",2015,"Fermanagh and Omagh","Weekly","Full-Time",24,10,14
"Number of Jobs (Thousands)",2015,"Fermanagh and Omagh","Weekly","Part-Time",14,10,NA
"Number of Jobs (Thousands)",2015,"Lisburn and Castlereagh","Hourly (excluding overtime)","All",54,26,28
"Number of Jobs (Thousands)",2015,"Lisburn and Castlereagh","Hourly (excluding overtime)","Full-Time",38,15,22
"Number of Jobs (Thousands)",2015,"Lisburn and Castlereagh","Hourly (excluding overtime)","Part-Time",17,11,6
"Number of Jobs (Thousands)",2015,"Lisburn and Castlereagh","Weekly","All",54,26,28
"Number of Jobs (Thousands)",2015,"Lisburn and Castlereagh","Weekly","Full-Time",38,15,22
"Number of Jobs (Thousands)",2015,"Lisburn and Castlereagh","Weekly","Part-Time",17,11,6
"Number of Jobs (Thousands)",2015,"Mid and East Antrim","Hourly (excluding overtime)","All",53,22,31
"Number of Jobs (Thousands)",2015,"Mid and East Antrim","Hourly (excluding overtime)","Full-Time",39,12,27
"Number of Jobs (Thousands)",2015,"Mid and East Antrim","Hourly (excluding overtime)","Part-Time",14,9,4
"Number of Jobs (Thousands)",2015,"Mid and East Antrim","Weekly","All",53,22,31
"Number of Jobs (Thousands)",2015,"Mid and East Antrim","Weekly","Full-Time",39,12,27
"Number of Jobs (Thousands)",2015,"Mid and East Antrim","Weekly","Part-Time",14,9,4
"Number of Jobs (Thousands)",2015,"Mid Ulster","Hourly (excluding overtime)","All",54,22,32
"Number of Jobs (Thousands)",2015,"Mid Ulster","Hourly (excluding overtime)","Full-Time",38,12,26
"Number of Jobs (Thousands)",2015,"Mid Ulster","Hourly (excluding overtime)","Part-Time",16,10,6
"Number of Jobs (Thousands)",2015,"Mid Ulster","Weekly","All",54,22,32
"Number of Jobs (Thousands)",2015,"Mid Ulster","Weekly","Full-Time",38,12,26
"Number of Jobs (Thousands)",2015,"Mid Ulster","Weekly","Part-Time",16,10,6
"Number of Jobs (Thousands)",2015,"Newry, Mourne and Down","Hourly (excluding overtime)","All",56,26,30
"Number of Jobs (Thousands)",2015,"Newry, Mourne and Down","Hourly (excluding overtime)","Full-Time",36,13,23
"Number of Jobs (Thousands)",2015,"Newry, Mourne and Down","Hourly (excluding overtime)","Part-Time",20,13,7
"Number of Jobs (Thousands)",2015,"Newry, Mourne and Down","Weekly","All",56,26,30
"Number of Jobs (Thousands)",2015,"Newry, Mourne and Down","Weekly","Full-Time",36,13,23
"Number of Jobs (Thousands)",2015,"Newry, Mourne and Down","Weekly","Part-Time",20,13,7
