"Statistic","Year","Local Government District","Working Pattern","Female","Male","All Persons"
"Number of Jobs (Thousands)",2014,"Antrim and Newtownabbey","All Jobs",26,23,49
"Number of Jobs (Thousands)",2014,"Antrim and Newtownabbey","Full Time",14,19,33
"Number of Jobs (Thousands)",2014,"Antrim and Newtownabbey","Part Time",12,NA,15
"Number of Jobs (Thousands)",2014,"Ards and North Down","All Jobs",17,13,30
"Number of Jobs (Thousands)",2014,"Ards and North Down","Full Time",8,10,18
"Number of Jobs (Thousands)",2014,"Ards and North Down","Part Time",9,NA,12
"Number of Jobs (Thousands)",2014,"Armagh City, Banbridge and Craigavon","All Jobs",40,36,76
"Number of Jobs (Thousands)",2014,"Armagh City, Banbridge and Craigavon","Full Time",21,30,51
"Number of Jobs (Thousands)",2014,"Armagh City, Banbridge and Craigavon","Part Time",19,6,25
"Number of Jobs (Thousands)",2014,"Belfast","All Jobs",90,108,198
"Number of Jobs (Thousands)",2014,"Belfast","Full Time",53,94,147
"Number of Jobs (Thousands)",2014,"Belfast","Part Time",37,14,51
"Number of Jobs (Thousands)",2014,"Causeway Coast and Glens","All Jobs",22,15,37
"Number of Jobs (Thousands)",2014,"Causeway Coast and Glens","Full Time",12,11,23
"Number of Jobs (Thousands)",2014,"Causeway Coast and Glens","Part Time",10,NA,14
"Number of Jobs (Thousands)",2014,"Derry City and Strabane","All Jobs",38,25,63
"Number of Jobs (Thousands)",2014,"Derry City and Strabane","Full Time",18,20,38
"Number of Jobs (Thousands)",2014,"Derry City and Strabane","Part Time",19,5,25
"Number of Jobs (Thousands)",2014,"Fermanagh and Omagh","All Jobs",18,14,32
"Number of Jobs (Thousands)",2014,"Fermanagh and Omagh","Full Time",9,11,20
"Number of Jobs (Thousands)",2014,"Fermanagh and Omagh","Part Time",9,NA,12
"Number of Jobs (Thousands)",2014,"Lisburn and Castlereagh","All Jobs",22,25,47
"Number of Jobs (Thousands)",2014,"Lisburn and Castlereagh","Full Time",11,21,32
"Number of Jobs (Thousands)",2014,"Lisburn and Castlereagh","Part Time",11,5,16
"Number of Jobs (Thousands)",2014,"Mid and East Antrim","All Jobs",22,29,51
"Number of Jobs (Thousands)",2014,"Mid and East Antrim","Full Time",12,24,36
"Number of Jobs (Thousands)",2014,"Mid and East Antrim","Part Time",11,5,15
"Number of Jobs (Thousands)",2014,"Mid Ulster","All Jobs",21,29,50
"Number of Jobs (Thousands)",2014,"Mid Ulster","Full Time",11,23,34
"Number of Jobs (Thousands)",2014,"Mid Ulster","Part Time",10,5,15
"Number of Jobs (Thousands)",2014,"Newry, Mourne and Down","All Jobs",23,27,49
"Number of Jobs (Thousands)",2014,"Newry, Mourne and Down","Full Time",11,21,32
"Number of Jobs (Thousands)",2014,"Newry, Mourne and Down","Part Time",11,6,17
"Number of Jobs (Thousands)",2014,"Northern Ireland","All Jobs",354,367,722
"Number of Jobs (Thousands)",2014,"Northern Ireland","Full Time",191,305,497
"Number of Jobs (Thousands)",2014,"Northern Ireland","Part Time",163,62,225
"Number of Jobs (Thousands)",2015,"Antrim and Newtownabbey","All Jobs",29,26,55
"Number of Jobs (Thousands)",2015,"Antrim and Newtownabbey","Full Time",16,23,39
"Number of Jobs (Thousands)",2015,"Antrim and Newtownabbey","Part Time",13,NA,16
"Number of Jobs (Thousands)",2015,"Ards and North Down","All Jobs",23,14,37
"Number of Jobs (Thousands)",2015,"Ards and North Down","Full Time",10,10,21
"Number of Jobs (Thousands)",2015,"Ards and North Down","Part Time",13,NA,16
"Number of Jobs (Thousands)",2015,"Armagh City, Banbridge and Craigavon","All Jobs",47,40,87
"Number of Jobs (Thousands)",2015,"Armagh City, Banbridge and Craigavon","Full Time",25,35,60
"Number of Jobs (Thousands)",2015,"Armagh City, Banbridge and Craigavon","Part Time",21,6,27
"Number of Jobs (Thousands)",2015,"Belfast","All Jobs",110,119,229
"Number of Jobs (Thousands)",2015,"Belfast","Full Time",67,103,170
"Number of Jobs (Thousands)",2015,"Belfast","Part Time",43,16,59
"Number of Jobs (Thousands)",2015,"Causeway Coast and Glens","All Jobs",25,16,41
"Number of Jobs (Thousands)",2015,"Causeway Coast and Glens","Full Time",14,12,26
"Number of Jobs (Thousands)",2015,"Causeway Coast and Glens","Part Time",11,NA,15
"Number of Jobs (Thousands)",2015,"Derry City and Strabane","All Jobs",33,25,58
"Number of Jobs (Thousands)",2015,"Derry City and Strabane","Full Time",18,20,38
"Number of Jobs (Thousands)",2015,"Derry City and Strabane","Part Time",15,5,20
"Number of Jobs (Thousands)",2015,"Fermanagh and Omagh","All Jobs",21,18,38
"Number of Jobs (Thousands)",2015,"Fermanagh and Omagh","Full Time",10,14,24
"Number of Jobs (Thousands)",2015,"Fermanagh and Omagh","Part Time",10,NA,14
"Number of Jobs (Thousands)",2015,"Lisburn and Castlereagh","All Jobs",26,28,54
"Number of Jobs (Thousands)",2015,"Lisburn and Castlereagh","Full Time",15,22,38
"Number of Jobs (Thousands)",2015,"Lisburn and Castlereagh","Part Time",11,6,17
"Number of Jobs (Thousands)",2015,"Mid and East Antrim","All Jobs",22,31,53
"Number of Jobs (Thousands)",2015,"Mid and East Antrim","Full Time",12,27,39
"Number of Jobs (Thousands)",2015,"Mid and East Antrim","Part Time",9,4,14
"Number of Jobs (Thousands)",2015,"Mid Ulster","All Jobs",22,32,54
"Number of Jobs (Thousands)",2015,"Mid Ulster","Full Time",12,26,38
"Number of Jobs (Thousands)",2015,"Mid Ulster","Part Time",10,6,16
"Number of Jobs (Thousands)",2015,"Newry, Mourne and Down","All Jobs",26,30,56
"Number of Jobs (Thousands)",2015,"Newry, Mourne and Down","Full Time",13,23,36
"Number of Jobs (Thousands)",2015,"Newry, Mourne and Down","Part Time",13,7,20
"Number of Jobs (Thousands)",2015,"Northern Ireland","All Jobs",394,398,792
"Number of Jobs (Thousands)",2015,"Northern Ireland","Full Time",219,334,553
"Number of Jobs (Thousands)",2015,"Northern Ireland","Part Time",175,64,239
"Number of Jobs (Thousands)",2016,"Antrim and Newtownabbey","All Jobs",32,30,62
"Number of Jobs (Thousands)",2016,"Antrim and Newtownabbey","Full Time",20,25,45
"Number of Jobs (Thousands)",2016,"Antrim and Newtownabbey","Part Time",12,5,17
"Number of Jobs (Thousands)",2016,"Ards and North Down","All Jobs",24,16,40
"Number of Jobs (Thousands)",2016,"Ards and North Down","Full Time",10,11,21
"Number of Jobs (Thousands)",2016,"Ards and North Down","Part Time",13,5,18
"Number of Jobs (Thousands)",2016,"Armagh City, Banbridge and Craigavon","All Jobs",42,42,84
"Number of Jobs (Thousands)",2016,"Armagh City, Banbridge and Craigavon","Full Time",23,36,59
"Number of Jobs (Thousands)",2016,"Armagh City, Banbridge and Craigavon","Part Time",19,6,25
